ID,Startzeit,Fertigstellungszeit,E-Mail,Name,Zeitpunkt der letzten Änderung,"Durch Ankreuzen des Kästchens erkläre ich mich damit einverstanden, dass meine Antworten für die Datenerhebung im Rahmen der oben beschriebenen Bachelorarbeit verwendet werden dürfen.
      ","Wie alt sind Sie?
","Welches Geschlecht haben Sie?
","Wie lange gehen Sie bereits Ihrem Beruf als Ärztin/Arzt nach?
","Bei was für einer Einrichtung sind Sie derzeit (schwerpunktmäßig) angestellt?
","Wie würden Sie den Standort der Einrichtung, in der sie arbeiten, einordnen? Handelt es sich eher um ein ländliches, städtisches oder vorstädtisches Gebiet?
","Welche Position haben Sie derzeit inne?      
",Welches Arbeitsmodell verfolgen Sie derzeit?      ,"Wie hoch ist Ihre tatsächliche Wochenarbeitszeit inklusive aller Dienste und Überstunden im Durchschnitt?
","Werden Ihre Überstunden überwiegend vergütet oder mit Freizeit ausgeglichen?      
","Wie beurteilen Sie Ihre derzeitigen Arbeitsbedingungen?
","Wie beurteilen Sie die personelle Besetzung im ärztlichen Dienst in Ihrer Einrichtung?
","Wie haben sich Ihre Arbeitsbedingungen seit der COVID-19-Pandemie entwickelt?
","Wurden seit der Covid-19 Pandemie neue oder zusätzliche Maßnahmen ergriffen, um Ihre Arbeitssituation und -bedingungen zu verbessern (z.B. Angebot von alternativen Arbeitszeitenmodellen, spezielle...","Wenn ja, welche Maßnahmen wurden getroffen?
","Ich empfinde es als angenehm, bei meinem Arbeitgeber zu arbeiten","Ich fühle mich mit meinem Arbeitgeber persönlich verbunden
","Ich fände es persönlich schade, wenn die Beschäftigung bei meinem Arbeitgeber beendet werden würde","Ich kann mich mit meinem Arbeitgeber und den Produkten/Dienstleistungen identifizieren
      ","Meine persönlichen Kontakte zu meinem Arbeitsumfeld sind für mich von Bedeutung
","In gewisser Weise bindet mich der für einen Wechsel benötigte Zeitaufwand an meinen Arbeitgeber
","Ich bin auf meinen Arbeitgeber angewiesen, weil es zurzeit keine gleichwertigen Alternativen am Markt gibt","Ich empfinde eine Bindung an meinen Arbeitgeber, weil bei einem Wechsel der von mir investierte Aufwand an Wert verlieren würde","Ich fühle mich an meinen Arbeitgeber gebunden, weil ein Wechsel mit Wechselkosten einhergehen würde","Es wäre nicht fair, die Beziehung mit meinem Arbeitgeber aufzukündigen, weil er sich stets um mich als Arbeitnehmer bemüht hat",Aufgrund der langen Beziehung mit meinem Arbeitgeber fühle ich mich zu einer gewissen Rücksichtnahme verpflichtet,Ich fühle mich in der Angestelltenbeziehung mit dem Arbeitgeber zur Fairness verpflichtet,Moralische Verpflichtungen gegenüber dem Arbeitgeber spielen für mich auch eine Rolle,Ich bin vertraglich an meinen Arbeitgeber gebunden,Mein Arbeitsvertrag schafft faire Rahmenbedingungen für meine Arbeit ,Mein Arbeitsvertrag stellt eine gerechte monetärere Kompensation sicher,Ich würde gerne Teile meines Arbeitsvertrages anpassen
1,2/6/24 22:31:33,2/6/24 22:33:58,anonymous,,,Einverstanden,28,Weiblich,2 - 5 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Weder noch,Nein,,4,3,4,5,4,2,1,2,1,4,3,4,4,5,4,5,1
2,2/6/24 23:13:38,2/6/24 23:17:53,anonymous,,,Einverstanden,59,Weiblich,> 20 Jahre,Universitätsklinikum,Vorstädtisch (suburban),Oberärztin/arzt,Vollzeit,40 - 48 h,Weder noch,Gut,Mittelmäßig,Verschlimmert,Ja,Coaching psychische Stresssituationen,4,2,4,5,5,4,4,4,2,3,4,4,3,3,3,3,4
3,2/7/24 5:14:04,2/7/24 5:18:01,anonymous,,,Einverstanden,62,Männlich,16 - 20 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Fachärztin/arzt,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Sehr gut,Gut,Verbessert,Ja,"Schutzmaßnahmen wurden erhöht, längere Pausen",4,4,4,4,4,3,2,3,3,4,2,4,3,4,4,4,3
4,2/7/24 21:04:51,2/7/24 21:07:42,anonymous,,,Einverstanden,36,Weiblich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Oberärztin/arzt,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Gut,Gut,Verschlimmert,Nein,,4,2,3,4,5,1,1,2,2,2,1,3,3,1,4,4,1
5,2/7/24 21:04:38,2/7/24 21:08:05,anonymous,,,Einverstanden,28,Weiblich,2 - 5 Jahre,Kommunales Krankenhaus,Vorstädtisch (suburban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend vergütet,Gut,Gut,Verschlimmert,Nein,,4,2,3,3,4,4,1,3,3,2,2,4,4,3,3,4,3
6,2/7/24 21:21:19,2/7/24 21:24:26,anonymous,,,Einverstanden,36,Weiblich,11 - 15 Jahre,Krankenhaus in privater Trägerschaft,Vorstädtisch (suburban),Fachärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Mittelmäßig,Gut,Weder noch,Nein,,3,2,3,4,4,2,4,1,1,2,2,4,4,3,3,2,5
7,2/7/24 21:22:56,2/7/24 21:27:09,anonymous,,,Einverstanden,33,Weiblich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Teilzeit,5 - 19 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Verschlimmert,Nein,,3,3,2,2,3,2,1,1,1,1,1,3,4,5,1,2,5
8,2/7/24 21:45:04,2/7/24 21:47:05,anonymous,,,Einverstanden,26,Weiblich,< 2 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Verschlimmert,Nein,,3,1,3,2,5,2,1,2,2,2,1,4,2,1,4,4,1
9,2/7/24 21:56:23,2/7/24 22:00:29,anonymous,,,Einverstanden,31,Männlich,2 - 5 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Verschlimmert,Nein,,4,3,4,4,5,2,1,2,1,1,1,1,2,1,3,3,3
10,2/8/24 17:31:20,2/8/24 17:34:20,anonymous,,,Einverstanden,35,Weiblich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Fachärztin/arzt,Vollzeit,40 - 48 h,Überwiegend vergütet,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,3,3,4,4,5,4,3,3,4,3,3,2,2,3,4,4,3
11,2/8/24 19:41:09,2/8/24 19:44:37,anonymous,,,Einverstanden,54 J,Weiblich,> 20 Jahre,Kommunales Krankenhaus,Ländlich (rural),Stellv. Chefärztin/arzt,Vollzeit,60 - 79 h,Weder noch,Schlecht,Schlecht,Verschlimmert,Nein,,2,1,1,3,5,2,1,2,1,1,1,3,3,3,1,4,5
12,2/9/24 9:16:13,2/9/24 9:23:46,anonymous,,,Einverstanden,34,Männlich,6 - 10 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Weder noch,Schlecht,Mittelmäßig,Verschlimmert,Nein,,2,2,1,3,4,3,3,4,4,2,1,4,5,5,3,2,5
13,2/9/24 9:37:51,2/9/24 9:44:22,anonymous,,,Einverstanden,30,Männlich,< 2 Jahre,Kommunales Krankenhaus,Ländlich (rural),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Weder noch,Mittelmäßig,Mittelmäßig,Verschlimmert,Nein,,4,3,3,3,4,2,2,3,2,3,1,2,3,1,1,1,4
14,2/10/24 8:36:39,2/10/24 8:40:05,anonymous,,,Einverstanden,31,Männlich,2 - 5 Jahre,Andere stationäre Einrichtung,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Weder noch,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,4,2,2,3,4,2,1,4,2,1,2,3,4,3,1,1,5
15,2/12/24 8:02:08,2/12/24 8:04:17,anonymous,,,Einverstanden,39,Männlich,11 - 15 Jahre,Kommunales Krankenhaus,Städtisch (urban),Fachärztin/arzt,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Verschlimmert,Nein,,2,1,2,2,2,4,2,4,4,2,2,2,2,4,2,1,4
16,2/18/24 19:22:53,2/18/24 19:24:44,anonymous,,,Einverstanden,39,Männlich,6 - 10 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Fachärztin/arzt,Vollzeit,60 - 79 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Verschlimmert,Ja,,5,4,4,5,4,2,1,2,3,4,4,4,5,5,4,5,2
17,2/19/24 20:59:43,2/19/24 21:03:02,anonymous,,,Einverstanden,28,Männlich,< 2 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,4,2,4,2,5,2,4,2,1,1,1,4,2,3,3,3,4
18,2/20/24 10:40:57,2/20/24 10:45:13,anonymous,,,Einverstanden,54,Weiblich,> 20 Jahre,Krankenhaus in privater Trägerschaft,Ländlich (rural),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Ja,Unterstützung der psychischen Gesundheit,4,3,4,4,4,3,3,3,2,4,4,4,4,5,4,4,3
19,2/22/24 8:07:35,2/22/24 8:10:32,anonymous,,,Einverstanden,666,Männlich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Chefärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Sehr gut,Gut,Weder noch,Nein,,5,5,5,5,5,3,1,2,2,5,4,5,4,3,5,5,5
20,2/22/24 17:46:30,2/22/24 17:51:02,anonymous,,,Einverstanden,36,Männlich,6 - 10 Jahre,Universitätsklinikum,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Ja,"Weiterbildungmöglichkeiten erhöht, Schutzmaßnahmen verstärkt",4,3,4,4,4,3,1,3,3,3,2,4,3,4,3,3,4
21,2/22/24 20:51:25,2/22/24 20:55:33,anonymous,,,Einverstanden,61 Jahre,Männlich,> 20 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Mittelmäßig,Mittelmäßig,Verschlimmert,Nein,,3,3,4,3,4,4,4,4,4,2,3,4,4,5,3,2,4
22,2/23/24 16:18:15,2/23/24 16:22:47,anonymous,,,Einverstanden,31,Weiblich,6 - 10 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend vergütet,Schlecht,Mittelmäßig,Verschlimmert,Nein,,2,4,1,4,5,1,2,3,1,1,4,5,5,4,1,3,5
23,2/23/24 17:14:38,2/23/24 17:19:00,anonymous,,,Einverstanden,31,Weiblich,< 2 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Verschlimmert,Ja,,3,2,2,2,4,4,2,3,2,2,1,2,2,3,1,3,5
24,2/26/24 9:02:46,2/26/24 9:11:54,anonymous,,,Einverstanden,33,Weiblich,6 - 10 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Fachärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Verschlimmert,Nein,,3,2,1,3,4,5,2,1,1,2,3,4,3,5,3,5,2
25,2/26/24 13:40:15,2/26/24 13:43:01,anonymous,,,Einverstanden,48,Männlich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Stellv. Chefärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,2,1,2,3,4,2,1,3,1,2,2,3,3,3,2,3,3
26,2/26/24 13:41:03,2/26/24 13:43:44,anonymous,,,Einverstanden,31,Männlich,2 - 5 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,4,3,4,4,5,1,3,3,1,1,1,4,4,3,4,2,5
27,2/26/24 13:50:50,2/26/24 13:54:12,anonymous,,,Einverstanden,28,Männlich,< 2 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend Freizeitausgleich,Schlecht,Schlecht,Weder noch,Nein,,2,1,1,2,1,5,3,3,1,1,3,3,3,3,2,4,4
28,2/26/24 14:02:09,2/26/24 14:06:13,anonymous,,,Einverstanden,43,Männlich,16 - 20 Jahre,Kommunales Krankenhaus,Städtisch (urban),Stellv. Chefärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Mittelmäßig,Gut,Verschlimmert,Nein,,3,3,4,4,4,4,5,5,4,2,2,3,4,1,4,4,5
29,2/26/24 14:43:50,2/26/24 14:48:06,anonymous,,,Einverstanden,61,Weiblich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Chefärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Gut,Mittelmäßig,Verbessert,Nein,,3,3,4,2,4,5,4,4,4,4,4,4,4,3,3,4,3
30,2/26/24 15:32:22,2/26/24 15:35:02,anonymous,,,Einverstanden,37,Weiblich,11 - 15 Jahre,Universitätsklinikum,Vorstädtisch (suburban),Oberärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Mittelmäßig,Gut,Weder noch,Nein,,4,4,4,4,3,2,2,2,2,1,1,1,2,1,4,4,3
31,2/26/24 15:36:21,2/26/24 15:39:38,anonymous,,,Einverstanden,41,Männlich,11 - 15 Jahre,Kommunales Krankenhaus,Ländlich (rural),Chefärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Gut,Gut,Weder noch,Nein,,4,4,5,4,3,2,1,2,3,5,3,4,4,4,4,5,2
32,2/26/24 15:44:15,2/26/24 15:47:36,anonymous,,,Einverstanden,43,Männlich,16 - 20 Jahre,Andere stationäre Einrichtung,Ländlich (rural),Oberärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Sehr gut,Gut,Verschlimmert,Nein,,5,3,5,5,5,1,1,1,1,3,3,5,5,5,5,5,1
33,2/26/24 16:11:25,2/26/24 16:15:00,anonymous,,,Einverstanden,36,Männlich,11 - 15 Jahre,Universitätsklinikum,Städtisch (urban),Oberärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Gut,Mittelmäßig,Weder noch,Nein,--,4,3,2,4,3,1,2,2,4,1,1,2,2,2,4,4,5
34,2/26/24 16:25:14,2/26/24 16:27:11,anonymous,,,Einverstanden,28,Männlich,< 2 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Weder noch,Mittelmäßig,Mittelmäßig,Verschlimmert,Nein,,3,1,1,1,3,2,1,4,4,1,1,1,1,3,1,1,5
35,2/26/24 16:34:35,2/26/24 16:37:32,anonymous,,,Einverstanden,25,Weiblich,< 2 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend vergütet,Gut,Schlecht,Weder noch,Nein,,4,1,5,3,5,4,2,2,1,1,1,4,3,3,2,3,4
36,2/26/24 17:31:30,2/26/24 17:34:03,anonymous,,,Einverstanden,29,Weiblich,2 - 5 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend vergütet,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,2,2,3,1,4,1,4,5,1,1,1,3,3,1,2,2,3
37,2/26/24 17:41:04,2/26/24 17:43:29,anonymous,,,Einverstanden,38,Weiblich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Verschlimmert,Ja,Token für Home Office,2,1,1,2,2,4,4,3,2,1,1,1,4,4,1,2,5
38,2/26/24 18:44:26,2/26/24 18:49:00,anonymous,,,Einverstanden,59,Männlich,> 20 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Chefärztin/arzt,Vollzeit,60 - 79 h,Weder noch,Gut,Mittelmäßig,Verschlimmert,Ja,"neue Fort- und Weiterbildungsangebote, zusätzliche Einstellung von Physician Assistants, Delegation von administrativen Aufgaben auf andere Berufsgruppen",3,2,4,2,5,1,1,1,1,2,3,1,1,3,4,4,4
39,2/26/24 19:17:26,2/26/24 19:20:12,anonymous,,,Einverstanden,31,Weiblich,6 - 10 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend vergütet,Gut,Gut,Verschlimmert,Nein,,3,2,3,3,4,3,1,3,1,2,1,4,5,4,4,5,3
